study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB32566	SAMEA5770214	ERS3573758	ERX3547747	ERR3528103	9606	Homo sapiens	unspecified	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR352/003/ERR3528103/ERR3528103.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR352/003/ERR3528103/ERR3528103.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR352/ERR3528103/R1015.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR352/ERR3528103/R1015.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR352/ERR3528103/R1015.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR352/ERR3528103/R1015.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR352/003/ERR3528103	ftp.sra.ebi.ac.uk/vol1/err/ERR352/003/ERR3528103		
PRJEB32566	SAMEA5770322	ERS3573866	ERX3552853	ERR3545987	9606	Homo sapiens	unspecified	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/007/ERR3545987/ERR3545987.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/007/ERR3545987/ERR3545987.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545987/R973.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545987/R973.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545987/R973.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545987/R973.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR354/007/ERR3545987	ftp.sra.ebi.ac.uk/vol1/err/ERR354/007/ERR3545987		
PRJEB32566	SAMEA5770218	ERS3573762	ERX3552854	ERR3545988	9606	Homo sapiens	unspecified	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/008/ERR3545988/ERR3545988.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/008/ERR3545988/ERR3545988.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545988/R1021.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545988/R1021.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545988/R1021.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545988/R1021.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR354/008/ERR3545988	ftp.sra.ebi.ac.uk/vol1/err/ERR354/008/ERR3545988		
PRJEB32566	SAMEA5770284	ERS3573828	ERX3552855	ERR3545989	9606	Homo sapiens	unspecified	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/009/ERR3545989/ERR3545989.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/009/ERR3545989/ERR3545989.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545989/R109.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545989/R109.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545989/R109.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545989/R109.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR354/009/ERR3545989	ftp.sra.ebi.ac.uk/vol1/err/ERR354/009/ERR3545989		
PRJEB32566	SAMEA5770200	ERS3573744	ERX3552856	ERR3545990	9606	Homo sapiens	unspecified	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/000/ERR3545990/ERR3545990.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/000/ERR3545990/ERR3545990.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545990/R17.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545990/R17.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545990/R17.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545990/R17.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR354/000/ERR3545990	ftp.sra.ebi.ac.uk/vol1/err/ERR354/000/ERR3545990		
PRJEB32566	SAMEA5770199	ERS3573743	ERX3552857	ERR3545991	9606	Homo sapiens	unspecified	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/001/ERR3545991/ERR3545991.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/001/ERR3545991/ERR3545991.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545991/R19.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545991/R19.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545991/R19.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545991/R19.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR354/001/ERR3545991	ftp.sra.ebi.ac.uk/vol1/err/ERR354/001/ERR3545991		
PRJEB32566	SAMEA5770207	ERS3573751	ERX3552858	ERR3545992	9606	Homo sapiens	unspecified	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/002/ERR3545992/ERR3545992.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/002/ERR3545992/ERR3545992.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545992/R25.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545992/R25.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545992/R25.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545992/R25.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR354/002/ERR3545992	ftp.sra.ebi.ac.uk/vol1/err/ERR354/002/ERR3545992		
PRJEB32566	SAMEA5770245	ERS3573789	ERX3552859	ERR3545993	9606	Homo sapiens	unspecified	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/003/ERR3545993/ERR3545993.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/003/ERR3545993/ERR3545993.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545993/R123.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545993/R123.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545993/R123.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545993/R123.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR354/003/ERR3545993	ftp.sra.ebi.ac.uk/vol1/err/ERR354/003/ERR3545993		
PRJEB32566	SAMEA5770212	ERS3573756	ERX3552860	ERR3545994	9606	Homo sapiens	unspecified	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/004/ERR3545994/ERR3545994.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/004/ERR3545994/ERR3545994.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545994/R22.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545994/R22.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545994/R22.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545994/R22.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR354/004/ERR3545994	ftp.sra.ebi.ac.uk/vol1/err/ERR354/004/ERR3545994		
PRJEB32566	SAMEA5770280	ERS3573824	ERX3552861	ERR3545995	9606	Homo sapiens	unspecified	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/005/ERR3545995/ERR3545995.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR354/005/ERR3545995/ERR3545995.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545995/R105.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545995/R105.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545995/R105.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR354/ERR3545995/R105.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR354/005/ERR3545995	ftp.sra.ebi.ac.uk/vol1/err/ERR354/005/ERR3545995		
